i t_now roll pitch yaw Tx Ty Tz T1 T2 T3 psi_1 psi_2 psi_3 Tpx Tpy Tix Tiy Tdx Tdy 
171 10.855741739273071 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
172 10.860759258270264 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
173 10.865766048431396 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
174 10.870835542678833 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
175 10.875735759735107 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
176 10.88074254989624 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
177 10.885733842849731 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
178 10.890752792358398 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
179 10.89579701423645 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
180 10.900750398635864 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
181 10.905773162841797 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
182 10.91082763671875 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
183 10.915764808654785 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
184 10.920993328094482 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
185 10.925835609436035 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
186 10.930804252624512 -0.0 0.0 0.06807039678096771 0 0 0 0.0 0.0 0.0 1.0 -11.0 -21.0 0 0 0 0 0 0 
